company_name,status_label,year,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18
C_101,alive,2018,371.898,1071.972,37.1,106.525,165.835,45.694,160.371,964.1654,1402.637,1068.168,245.724,69.425,330.665,227.512,335.47,1402.637,571.851,1296.112
C_102,alive,2013,73286,99849,6757,55756,1764,37037,20641,428699.7978,170910,207000,16960,48999,71061,43658,103785,170910,83451,115154
C_102,alive,2014,68531,104312,7946,60449,2111,39510,27219,591015.7208,182795,231839,28987,52503,78483,63448,88234,182795,120292,122346
C_102,alive,2015,89378,129589,10500,81730,2349,53394,30343,615336.4559,233715,290479,53463,71230,104126,80610,91939,233715,171124,151985
C_102,alive,2016,106869,121576,9800,69276,2132,45687,29299,603253.5663,215091,321686,75427,59476,93515,79006,96998,215091,193437,145815
C_102,alive,2017,128645,131648,9400,70744,4855,48351,35673,790050.0981,229234,375319,97207,61344,97586,100814,98180,229234,241272,158490
C_102,alive,2018,131339,152853,10903,81565,3956,59531,48995,1073390.54,265359,365725,93735,70662,112506,116866,66946,265359,258578,183794
C_103,alive,2013,5642,4134,410,1245,1413,256,1640,21497.42,7509,12043,1946,835,3375,2443,12449,7509,4955,6264
C_103,alive,2014,6967,4878,375,1973,1567,1072,1670,26971.89,9072,13174,1947,1598,4194,2823,12996,9072,5306,7099
C_103,alive,2015,9261,5326,371,2063,1833,1377,1739,19453.2,9659,15308,3342,1692,4333,3798,13875,9659,7695,7596
C_103,alive,2016,8353,5949,389,2548,2050,1721,2279,31348.24,10825,14588,3143,2159,4876,3632,15137,10825,7371,8277
C_103,alive,2017,12918,7618,407,4278,2930,3434,2338,59815.8,14537,19419,5304,3871,6919,4115,18194,14537,10070,10259
C_103,alive,2018,10747,8998,457,5258,3722,3313,2565,31794.96,17253,17773,5309,4801,8255,4068,20749,17253,10934,11995
C_1000,alive,2013,2936,1584,137,1765,0,1376,979,21192.2,4875,6061,799,1628,3291,2372,7188,4875,3907,3110
C_1000,alive,2014,3966,1627,134,1958,0,-115,932,24202.56,5051,6771,799,1824,3424,3967,6432,5051,5422,3093
C_1000,alive,2015,3296,1672,157,2210,0,1156,991,26143.416,5313,8183,3468,2053,3641,2908,7036,5313,7020,3103
C_1000,alive,2016,3671,1769,181,2516,0,2106,1122,27777.582,5661,8669,3564,2335,3892,2611,8437,5661,6888,3145
C_1000,alive,2017,4324,1713,180,2939,0,1496,1319,42976.78,6063,9425,3170,2759,4350,3214,9376,6063,7307,3124
C_1000,alive,2018,3604,1701,206,3162,0,1958,1449,42213.096,6258,9458,3662,2956,4557,2629,10542,6258,7154,3096
C_1001,alive,2013,32573,128742,505,3171,13308,1263,14193,40787.67,137609,51759,8949,2666,8867,29501,11473,137609,41441,134438
C_1001,alive,2014,36670,167316,766,4142,14296,1476,15914,52478.4,179045,53870,8180,3376,11729,33497,10985,179045,44399,174903
C_1001,alive,2015,38437,179229,712,4417,15335,2258,17980,35381.25,190884,56563,6535,3705,11655,35071,6797,190884,46149,186467
C_1001,alive,2016,36948,187082,768,4209,15278,5070,18215,31282.86,198533,60969,7305,3441,11451,35612,11046,198533,48369,194324
C_1001,alive,2017,37136,196858,806,3911,16310,67,17711,28455.74,208357,60381,6751,3105,11499,36685,11268,208357,48865,204446
C_1001,alive,2018,38465,202446,802,3816,16709,34,18246,22241.4,214319,59672,7265,3014,11873,37626,10558,214319,49992,210503
C_1002,alive,2013,51.894,66.853,0.686,12.213,23.046,7.498,15.394,60.0684,97.071,64.909,0,11.527,30.218,7.443,53.636,97.071,8.842,84.858
C_1002,alive,2014,58.381,72.74,0.748,12.229,22.288,7.548,14.366,75.282,103.629,71.186,0,11.481,30.889,7.2,60.019,103.629,8.736,91.4
C_1002,alive,2015,60.254,78.562,0.785,11.086,25.757,6.641,15.758,69.8488,108.673,78.344,0,10.301,30.111,9.003,65.397,108.673,10.516,97.587
C_1002,alive,2016,60.444,80.93,0.907,8.046,27.944,4.692,13.763,58.6107,108.758,80.839,0,7.139,27.828,7.691,68.441,108.758,9.979,100.712
C_1002,alive,2017,61.719,77.528,1.211,9.033,18.273,5.083,12.66,79.134,104.316,81.641,0,7.822,26.788,5.177,71.802,104.316,7.44,95.283
C_1002,alive,2018,60.189,53.948,1.234,3.513,18.427,2.19,11.792,72.2314,73.892,80.364,0,2.279,19.944,4.754,72.594,73.892,5.375,70.379
C_1003,alive,2013,2.913,3.163,0.091,0.452,0.742,3.654,0.824,5.6776,8.352,4.534,0,0.361,5.189,1.142,-118.529,8.352,1.142,7.9
C_1003,alive,2014,4.024,3.201,0.083,0.648,0.773,0.74,1.216,3.7349,8.781,5.479,0,0.565,5.58,1.261,-117.789,8.781,1.261,8.133
C_1003,alive,2015,2.471,2.395,0.08,-1.39,1.006,-2.832,0.931,4.9435,6.33,2.586,0,-1.47,3.935,1.059,-120.621,6.33,1.059,7.72
C_1003,alive,2016,5.02,2.637,0.085,-0.276,0.676,-0.359,0.881,13.0669,7.056,5.18,0,-0.361,4.419,1.03,-120.98,7.056,1.03,7.332
C_1003,alive,2017,6.018,2.153,0.081,1.067,0.694,0.582,1.406,9.4576,7.061,6.202,0,0.986,4.908,1.238,-120.398,7.061,1.238,5.994
C_1003,alive,2018,7.562,2.231,0.096,1.619,0.863,1.936,0.871,7.6204,8.062,8.138,0,1.523,5.831,1.192,-118.462,8.062,1.192,6.443
C_1004,alive,2013,108.791,36.708,1.232,3.81,14.126,6.725,1.2,81.6644,48.943,116.948,0,2.578,12.235,6.036,99.184,48.943,6.52,45.133
C_1004,alive,2014,110.619,30.822,1.372,1.346,14.017,3.473,1.448,93.4766,40.017,117.828,0,-0.026,9.195,2.96,102.657,40.017,3.653,38.671
C_1004,alive,2015,112.366,30.339,1.385,0.591,15.166,-1.819,0.874,86.2235,39.23,120.144,0,-0.794,8.891,7.399,100.838,39.23,7.399,38.639
C_1004,alive,2016,123.42,51.069,1.397,9.213,16.555,7.043,1.11,172.2125,69.991,128.712,0,7.816,18.922,8.191,107.881,69.991,8.507,60.778
C_1004,alive,2017,137.118,58.321,1.128,11.364,23.455,8.418,1.184,254.4954,80.608,142.893,0,10.236,22.287,12.374,116.299,80.608,13.975,69.244
C_1004,alive,2018,145.081,70.613,1.38,15.095,30.114,12.564,0.993,175.2191,98.614,153.023,0,13.715,28.001,8.486,128.863,98.614,10.844,83.519
C_1007,alive,2013,131.99,229.379,3.837,10.109,32.718,4.192,32.89,114.2453,287.849,203.944,13.245,6.272,58.47,82.918,63.715,287.849,103.657,277.74
C_1009,alive,2013,21210,3934,850,5747,1725,3065,3811,58761.1212,17005,37943,10315,4897,13071,5559,19343,17005,18500,11258
C_1009,alive,2014,30844,5159,1306,6516,3463,2675,5112,105841.6936,20261,106685,33752,5210,15102,9173,53230,20261,53455,13745
C_1009,alive,2015,23600,8018,2820,9122,3473,3538,5562,110732.2747,28833,99782,30247,6302,20815,7165,52063,28833,47719,19711
C_1009,alive,2016,24873,8296,2917,9510,3338,4028,5591,113785.5233,29710,99816,25921,6593,21414,14220,20743,29710,49400,20200
C_1009,alive,2017,22980,8149,2644,9617,3579,3104,5987,108513.4883,29953,91393,23699,6973,21804,10084,22593,29953,40571,20336
C_1009,alive,2018,21967,8162,2659,9908,3753,4631,6222,119067.3894,30557,89694,24486,7249,22395,8472,23559,30557,39482,20649
C_1010,alive,2013,3.194,3.161,2.59,3.515,0,0.282,1.638,22.035,11.035,18.28,4.365,0.925,7.874,3.216,-3.007,11.035,7.717,7.52
C_1010,alive,2014,2.719,2.282,2.805,3.909,0,0.348,1.369,30.116,11.49,18.493,3.865,1.104,9.208,3.464,-2.659,11.49,7.42,7.581
C_1010,alive,2015,2.87,2.431,3.002,3.904,0,0.279,1.234,22.959,12.538,19.709,3.5,0.902,10.107,4.539,-2.38,12.538,8.236,8.634
C_1010,alive,2016,3.233,3.097,3.28,4.488,0,0.435,1.073,27.2995,14.892,19.883,2.7,1.208,11.795,4.433,-1.945,14.892,7.556,10.404
C_1010,alive,2017,1.886,3.531,2.919,1.536,0,-3.52,1.308,20.7049,13.871,17.806,3.8,-1.383,10.34,5.082,-6.398,13.871,9.353,12.335
C_1010,alive,2018,1.487,5.262,3.519,0.074,0,-5.484,1.187,11.1977,14.818,15.214,6.05,-3.445,9.556,5.027,-11.882,14.818,11.6,14.744
C_1012,alive,2013,25325,101108,1870,9835,11045,4592,8729,84452.6,126761,71526,12841,7965,25653,15425,28344,126761,33588,116926
C_1012,alive,2014,25983,112069,1931,10749,11930,4644,9687,109793.4,139367,74252,11695,8818,27298,19027,31632,139367,36289,128618
C_1012,alive,2015,30378,124670,2092,11856,14001,5237,11888,107644.77,153290,93657,26267,9764,28620,23169,35148,153290,56415,141434
C_1012,alive,2016,31042,146148,2475,13019,14760,5317,12164,83723.51,177526,94462,25615,10544,31378,26250,38678,177526,57628,164507
C_1012,alive,2017,31229,153739,2479,12523,15296,6622,13181,73515,184765,95131,22181,10044,31026,30648,43391,184765,57436,172242
C_1012,alive,2018,45243,160323,2718,13509,16450,-594,17631,84848.4,194579,196456,71444,10791,34256,44009,41013,194579,137913,181070
C_1015,alive,2013,830.109,148.946,44.391,240.268,25.121,155.258,469.989,2407.0176,1156.373,1904.109,224.261,195.877,1007.427,410.987,346.355,1156.373,703.336,916.105
C_1015,alive,2014,866.246,162.878,49.601,255.249,22.512,147.139,567.606,2664.3279,1244.133,2049.022,230.4,205.648,1081.255,441.53,440.014,1244.133,762.796,988.884
C_1015,alive,2015,898.467,145.906,52.468,228.445,24.762,96.277,516.329,1997.5529,1180.988,2064.364,240.076,175.977,1035.082,423.31,501.746,1180.988,743.935,952.543
C_1015,alive,2016,1023.851,147.033,53.223,268.639,18.575,154.866,531.447,4074.2365,1282.467,2261.185,15.224,215.416,1135.434,762.755,638.519,1282.467,885.502,1013.828
C_1016,alive,2013,35685,9570,6411,15668,6226,4404,7184,146522.7264,44033,105645,20539,9257,34463,17868,37060,44033,53319,28365
C_1016,alive,2014,33173,9441,5791,15457,5571,11920,6626,161177.9706,42237,98335,18699,9666,32796,18766,41698,42237,49544,26780
C_1016,alive,2015,29764,8214,6201,14872,4700,4442,6484,146899.2338,39498,101779,23929,8671,31284,19203,41200,39498,57012,24626
C_1016,alive,2016,30614,8149,5214,15309,4866,3920,7018,161817.794,39807,95377,24274,10095,31658,17204,38907,39807,55069,24498
C_1016,alive,2017,24766,7926,4577,12725,5096,2394,6918,151738.3572,40122,87872,21353,8148,32196,18614,36440,40122,53303,27397
C_1016,alive,2018,25875,9171,4317,13404,5440,6220,7226,198097.5096,42294,82637,19806,9087,33123,22206,37034,42294,55755,28890
C_1017,alive,2013,407.692,561.058,45.35,265.822,28.386,123.65,232.305,2112.3133,1471.34,2140.059,300,220.472,910.282,456.671,759.56,1471.34,1285.763,1205.518
C_1017,alive,2014,470.012,566.779,48.726,258.172,24.008,113.541,257.644,2149.0884,1468.708,2543.8,627.5,209.446,901.929,483.103,805.292,1468.708,1652.148,1210.536
C_1017,alive,2015,482.531,598.641,56.545,316.634,24.681,136.791,284.646,2325.8886,1594.176,2843.282,732.5,260.089,995.535,531.001,858.211,1594.176,1891.432,1277.542
C_1017,alive,2016,481.156,611.337,59.152,316.244,20.678,33.937,273.927,2255.2535,1649.628,2628.285,620,257.092,1038.291,477.892,790.205,1649.628,1739.242,1333.384
C_1017,alive,2017,505.253,602.785,53.892,348.907,21.89,188.928,289.052,2620.206,1713.361,2729.623,635.737,295.015,1110.576,459.67,896.694,1713.361,1733.651,1364.454
C_1017,alive,2018,1979.1,860.6,129,416,44.2,99.4,542,2277.15,2247.4,6727.2,3117.9,287,1386.8,1190.3,853.1,2247.4,5107.1,1831.4
C_1019,alive,2013,26.566,17.192,3.844,17.037,7.771,9,9.278,315.0628,52.724,97.529,16.5,13.193,35.532,10.215,48.537,52.724,33.196,35.687
C_1019,alive,2014,29.622,22.282,5.656,21.98,12.42,9.583,12.145,257.1764,71.33,117.32,23.25,16.324,49.048,14.657,55.728,71.33,43.841,49.35
C_1019,alive,2015,37.186,26.072,7.174,25.206,14.017,11.169,15.313,350.425,84.659,160.748,42.25,18.032,58.587,23.971,63.677,84.659,76.07,59.453
C_1019,alive,2016,35.785,30.384,8.737,26.4,13.873,11.183,14.319,457.4256,93.665,171.733,53.675,17.663,63.281,16.567,71.896,93.665,73.912,67.265
C_1019,alive,2017,31.988,29.41,9.471,28.421,9.228,-2.962,14.302,564.2204,96.179,164.101,44.635,18.95,66.769,17.29,68.845,96.179,64.74,67.758
C_1019,alive,2018,33.623,32.641,9.428,27.433,6.772,7.484,12.516,896.645,103.135,156.767,20.613,18.005,70.494,23.661,71.488,103.135,45.456,75.702
C_1021,alive,2013,8.043,0,0,21.053,0,21.056,0.063,263.5808,22.043,8.554,0,21.053,22.043,7.57,0.984,22.043,7.57,0.99
C_1021,alive,2014,9.842,0,0,24.759,0,24.768,0.558,224.0896,26.071,10.098,0,24.759,26.071,8.487,1.611,26.071,8.487,1.312
C_1021,alive,2015,9.361,0,0,8.552,0,8.559,0.978,57.728,9.714,9.817,0,8.552,9.714,0.828,8.989,9.714,0.828,1.162
C_1021,alive,2016,14.25,0,0,9.608,0,9.613,0.045,179.744,10.732,14.25,0,9.608,10.732,4.045,10.205,10.732,4.045,1.124
C_1021,alive,2017,26.123,0,0,33.403,0,33.496,1.956,325.376,34.475,26.123,0,33.403,34.475,15.616,10.507,34.475,15.616,1.072
C_1021,alive,2018,35.454,0,0,45.641,0,45.559,2.395,360.0128,47.033,35.454,0,45.641,47.033,18.648,16.806,47.033,18.648,1.392
C_1024,alive,2013,381.7,594,23.9,99.2,71.6,96.1,173,1051.9008,772.8,575.5,48,75.3,178.8,119.1,293.9,772.8,183.3,673.6
C_1024,alive,2014,438.3,640.4,23.4,146.7,70.9,101.1,170.4,1628.5533,881.1,605.8,5,123.3,240.7,130.6,348.2,881.1,146.8,734.4
C_1024,alive,2015,496.2,575.8,23.9,132.5,66.2,84.6,175.5,1095.1046,809.1,655.9,57,108.6,233.3,117.9,350.2,809.1,185.8,676.6
C_1024,alive,2016,530.3,574.9,24.3,137.9,57.9,92.9,165.3,1638.8609,816.5,704,27,113.6,241.6,124.4,401.3,816.5,162.9,678.6
C_1024,alive,2017,550,645.4,28.1,153.2,84.1,57.2,202.6,1470.3948,908.3,915.9,55.3,125.1,262.9,157,485.9,908.3,285.9,755.1
C_1024,alive,2018,453.5,701.7,43.3,165.5,116.7,91.6,234.4,1091.4864,1000.3,1231.7,278,122.2,298.6,180.9,531.6,1000.3,542,834.8
C_1025,alive,2013,10.789,27.936,0.058,2.629,1.998,1.607,2.294,12.3623,36.227,11.052,0,2.571,8.291,5.369,3.415,36.227,5.369,33.598
C_1025,alive,2014,13.574,25.978,0.06,2.659,2.836,1.62,0.999,17.585,33.833,13.818,0,2.599,7.855,9.328,2.222,33.833,9.328,31.174
C_1025,alive,2015,9.037,22.748,0.059,2.738,2.809,1.672,2.14,31.442,30.755,9.283,0,2.679,8.007,4.527,2.488,30.755,4.527,28.017
C_1025,alive,2016,9.986,27.743,0.061,2.852,2.627,1.74,1.895,26.9402,36.016,10.161,0,2.791,8.273,5.072,2.821,36.016,5.072,33.164
C_1025,alive,2017,23.8,73.063,0.576,6.485,7.763,3.167,13.638,283.1594,93.978,57.135,3.731,5.909,20.915,21.18,4.948,93.978,24.911,87.493
C_1025,alive,2018,36.374,111.922,1.579,8.81,16.362,3.966,16.906,450.8361,150.007,95.474,8.817,7.231,38.085,29.068,7.511,150.007,38.443,141.197
C_1026,alive,2013,107.575,75.425,9.147,32.588,6.108,12.455,11.665,193.182,119.108,291.884,104.711,23.441,43.683,22.281,141.184,119.108,150.115,86.52
C_1027,alive,2013,0.831,1.232,1.196,1.673,0,0.301,0.646,15.713,4.042,17.918,2.425,0.477,2.81,0.309,5.766,4.042,4.519,2.369
C_1027,alive,2014,0.59,1.3,1.391,0.85,0,-0.341,0.449,11.3665,3.39,21.471,5.95,-0.541,2.09,0.423,5.426,3.39,8.264,2.54
C_1027,alive,2015,0.355,4.129,1.608,-2.862,0,-3.98,0.278,4.7829,2.422,16.467,5.58,-4.47,-1.707,0.332,1.446,2.422,7.123,5.284
C_1027,alive,2016,0.505,0.879,1.213,0.523,0,-0.695,0.396,7.8628,2.378,12.708,2.9,-0.69,1.499,0.137,0.751,2.378,4.006,1.855
C_1027,alive,2017,1.372,1.07,0.911,0.68,0,-0.321,0.832,6.2332,2.705,10.401,0.7,-0.231,1.635,0.447,0.43,2.705,1.999,2.025
C_1028,alive,2014,1462,2726,111,775,958,217,2,5314.8,4738,2005,3124,664,2012,890,-2683,4738,4116,3963
C_1028,alive,2015,1499.713,2829.675,114.756,835.36,1002.607,362.912,1.231,4556.1128,4912.782,2023.277,2744.942,720.604,2083.107,904.85,-2330.494,4912.782,3747.372,4077.422
C_1028,alive,2016,1542.805,3049.674,115.801,842.472,1127.777,378.159,29.04,3802.4274,5197.292,2147.64,2723.187,726.671,2147.618,1024.224,-1944.503,5197.292,3846.066,4354.82
C_1028,alive,2017,1676.982,3114.259,118.912,854.302,1123.288,390.498,29.968,4888.1635,5361.96,2300.215,2701.764,735.39,2247.701,957.945,-1543.441,5361.96,3809.71,4507.658
C_1028,alive,2018,1515.524,3124.005,124.271,792.121,1108.715,319.545,62.263,2186.7476,5271.944,2128.336,2681,667.85,2147.939,932.553,-1642.743,5271.944,3754.531,4479.823
C_1030,alive,2013,984.238,598.985,27.781,258.339,49.273,171.418,241.226,3310.9858,1268.085,1589.038,0.094,230.558,669.1,418.585,1113.138,1268.085,470.768,1009.746
C_1030,alive,2014,1106.47,662.81,28.569,293.496,57.583,182.014,289.235,5080.957,1405.397,1752.644,0.062,264.927,742.587,461.299,1224.328,1405.397,523.186,1111.901
C_1031,alive,2013,8911,5462,1804,2168,2649,1190,2329,14172.508,9073,19118,4452,364,3611,4125,-149,9073,9112,6905
C_1031,alive,2014,10245,8818,2103,5462,2455,3045,2906,34979.8,16358,22498,4955,3359,7540,4811,2785,16358,10868,10896
C_1031,alive,2015,8596,8310,2667,5623,2340,2899,2507,17049.99,16192,24143,6252,2956,7882,3905,5601,16192,10855,10569
C_1031,alive,2016,9495,6914,2980,3212,2889,-276,2068,17149.6,12399,27540,9154,232,5485,4835,5264,12399,14612,9187
C_1031,alive,2017,12457,7913,3866,9855,3123,5089,3759,35550.64,20322,35336,9872,5989,12409,5334,10289,20322,15845,10467
C_1031,alive,2018,16039,7741,4759,19696,3595,14135,5478,60975.72,30391,43376,3777,14937,22650,5754,24405,30391,10112,10695
C_1032,alive,2013,20.995,11.67,0.317,2.414,5.869,1.393,2.946,18.046,19.677,22.958,0,2.097,8.007,2.314,20.247,19.677,2.768,17.263
C_1032,alive,2014,20.85,11.425,0.317,1.795,5.48,1.025,2.332,21.0107,19.112,23.002,0,1.478,7.687,1.435,21.256,19.112,1.803,17.317
C_1032,alive,2015,24.737,11.858,0.308,2.441,6.868,1.494,2.36,23.202,20.032,26.993,0,2.133,8.174,4.198,22.492,20.032,4.558,17.591
C_1032,alive,2016,23.183,11.736,0.29,0.579,7.617,0.235,2.177,21.913,17.599,25.369,0,0.289,5.863,2.54,22.469,17.599,2.957,17.02
C_1032,alive,2017,21.247,11.883,0.293,1.893,5.865,1.406,3.462,18.6905,19.725,25.254,0,1.6,7.842,1.694,23.617,19.725,1.694,17.832
C_1032,alive,2018,23.809,12.682,0.319,1.63,6.578,1.441,3.772,20.624,20.967,27.646,0,1.311,8.285,2.903,24.8,20.967,2.903,19.337
C_1033,alive,2013,622.63,389.925,113.65,214.877,161.986,43.674,162.103,2275.62,975.944,1912.655,678.873,101.227,586.019,133.232,275.394,975.944,880.597,761.067
C_1033,alive,2014,618.582,485.922,125.747,222.282,205.005,23.123,191.168,2430.0345,1138.263,2061.096,698.081,96.535,652.341,161.223,297.294,1138.263,945.466,915.981
C_1033,alive,2015,736.6,525.1,132.7,276.9,227.2,84.6,186.9,3121.182,1245.6,2450.1,953.9,144.2,720.5,201.6,380.1,1245.6,1242.9,968.7
C_1033,alive,2016,734.9,667.8,207.3,357.1,213.1,-32.6,245.2,4768.928,1655,4423,2138.5,149.8,987.2,319.6,348.4,1655,2694.1,1297.9
C_1033,alive,2017,726.9,605.6,240.4,535.8,239.1,176.3,267.9,5987.124,1811.8,4323.1,1735.6,295.4,1206.2,379.4,527.3,1811.8,2328.8,1276
C_1034,alive,2013,1.844,1.77,0.166,-0.424,0.567,-0.551,0.238,1.215,2.872,2.424,0.452,-0.59,1.102,0.302,-0.319,2.872,0.754,3.296
C_1034,alive,2014,2.023,2,0.132,0.178,0.474,0.039,0.377,1.1628,3.627,2.497,0.41,0.046,1.627,0.379,-0.281,3.627,0.789,3.449
C_1034,alive,2015,1.781,2.114,0.11,-0.089,0.447,-0.203,0.393,1.1356,3.541,2.216,0.365,-0.199,1.427,0.347,-0.483,3.541,0.712,3.63
C_1034,alive,2016,1.78,2.15,0.095,0.066,0.449,-0.033,0.347,1.5486,3.545,2.132,0.319,-0.029,1.395,0.342,-0.516,3.545,0.661,3.479
C_1034,alive,2017,1.505,1.947,0.081,-0.172,0.458,-0.264,0.351,1.5738,3.037,1.831,0.27,-0.253,1.09,0.355,-0.78,3.037,0.625,3.209
C_1034,alive,2018,1.509,1.943,0.073,0.065,0.378,-0.016,0.403,1.4964,3.342,1.77,0.219,-0.008,1.399,0.361,-0.796,3.342,0.58,3.277
C_1037,alive,2013,3929.691,8231.632,1503.148,3159.315,1123.964,730.572,1172.186,11285.5332,11390.947,43406.446,12171.367,1656.167,3159.315,4060.572,9795.729,11390.947,33469.22,8231.632
C_1037,alive,2014,4389.633,8742.773,1591.259,3752.148,1124.018,960.257,1103.255,15680.0027,12494.921,46527.854,12529.819,2160.889,3752.148,3848.891,10127.35,12494.921,36215.369,8742.773
C_1037,alive,2015,4067.412,8295.722,1617.548,3217.529,1091.167,-156.734,1068.9,12194.672,11513.251,44647.681,13138.557,1599.981,3217.529,3089.958,9402.864,11513.251,35072.705,8295.722
C_1037,alive,2016,3684.268,7181.321,1674.612,3664.324,878.123,-564.503,1170.167,13160.6811,10845.645,45904.434,14492.237,1989.712,3664.324,3200.096,8160.6,10845.645,37619.44,7181.321
C_1037,alive,2017,3285.331,7497.034,1795.663,3577.447,905.865,425.353,1212.95,14692.36,11074.481,46707.149,14337.274,1781.784,3577.447,5036.207,7954.171,11074.481,38516.831,7497.034
C_1037,alive,2018,2958.064,8249.816,1757.95,2759.636,870.147,862.555,1114.405,16272.0499,11009.452,48275.066,15538.681,1001.686,2759.636,5443.544,8163.977,11009.452,39211.359,8249.816
C_1038,alive,2013,25.838,72.888,10.988,41.958,1.984,16.633,17.292,334.2652,114.846,530.341,129.798,30.97,41.958,52.678,42.56,114.846,338.71,72.888
C_1038,alive,2014,22.864,71.303,11.444,45.836,2.253,18.445,15.949,371.8194,117.139,575.772,136.039,34.392,45.836,43.872,48.623,117.139,376.045,71.303
C_1038,alive,2015,24.41,78.134,12.051,47.891,2.6,20.028,16.306,430.6115,126.025,584.722,136.247,35.84,47.891,28.319,55.931,126.025,375.592,78.134
C_1038,alive,2016,26.716,79.478,12.796,53.428,4.094,22.742,16.719,699.7502,132.906,620.161,134.538,40.632,53.428,47.056,65.392,132.906,399.288,79.478
C_1038,alive,2017,29.247,78.233,13.922,52.542,4.118,22.809,17.784,652.6083,130.775,661.14,139.045,38.62,52.542,64.537,74.055,130.775,429.532,78.233
C_1038,alive,2018,30.815,85.898,15.037,52.179,5.411,32.452,19.055,875.1001,138.077,767.83,152.851,37.142,52.179,94.363,91.433,138.077,516.61,85.898
C_1039,alive,2013,1.517,1.422,0.006,-0.199,0,-0.147,0.419,3.1692,3.05,1.606,0,-0.205,1.628,0.332,-10.78,3.05,0.344,3.249
C_1039,alive,2014,2.871,2.683,0.015,0.482,0,0.533,1.576,4.4795,5.527,3.026,0,0.467,2.844,1.215,-10.247,5.527,1.223,5.045
C_1039,alive,2015,3.349,3.585,0.019,0.818,0,0.462,0.431,4.0033,7.36,3.721,0,0.799,3.775,1.336,-9.785,7.36,1.454,6.542
C_1039,alive,2016,2.618,2.047,0.037,0.212,0,0.082,1.704,8.4949,5.067,2.945,0,0.175,3.02,1.048,-8.659,5.067,1.188,4.855
C_1039,alive,2017,2.944,2.994,0.045,0.502,0,0.236,1.698,17.18,7.196,3.159,0,0.457,4.202,1.118,-8.424,7.196,1.139,6.694
C_1039,alive,2018,3.345,3.603,0.082,0.575,0,0.329,1.044,14.224,8.561,3.758,0,0.493,4.958,1.371,-8.094,8.561,1.39,7.986
